region,season,baseline
National,2007/2008,2.2
Region1,2007/2008,1.4
Region2,2007/2008,3
Region3,2007/2008,3.6
Region4,2007/2008,1.8
Region5,2007/2008,2.6
Region6,2007/2008,4.1
Region7,2007/2008,1.9
Region8,2007/2008,1.6
Region9,2007/2008,3.4
Region10,2007/2008,3.3
National,2008/2009,2.4
Region1,2008/2009,1.5
Region2,2008/2009,2.9
Region3,2008/2009,3.5
Region4,2008/2009,2
Region5,2008/2009,1.9
Region6,2008/2009,4.6
Region7,2008/2009,1.8
Region8,2008/2009,1.5
Region9,2008/2009,2.7
Region10,2008/2009,3.5
National,2009/2010,2.3
Region1,2009/2010,1.2
Region2,2009/2010,2.3
Region3,2009/2010,3
Region4,2009/2010,2
Region5,2009/2010,1.7
Region6,2009/2010,4.8
Region7,2009/2010,1.9
Region8,2009/2010,1.3
Region9,2009/2010,2.8
Region10,2009/2010,3.3
National,2010/2011,2.5
Region1,2010/2011,1.4
Region2,2010/2011,2.4
Region3,2010/2011,2.6
Region4,2010/2011,2.3
Region5,2010/2011,1.8
Region6,2010/2011,4.9
Region7,2010/2011,2.3
Region8,2010/2011,1.7
Region9,2010/2011,4.1
Region10,2010/2011,2.2
National,2011/2012,2.4
Region1,2011/2012,1.1
Region2,2011/2012,2.5
Region3,2011/2012,2.5
Region4,2011/2012,2.3
Region5,2011/2012,1.6
Region6,2011/2012,4.3
Region7,2011/2012,2.3
Region8,2011/2012,2.1
Region9,2011/2012,3.9
Region10,2011/2012,2.2
National,2012/2013,2.2
Region1,2012/2013,1
Region2,2012/2013,2
Region3,2012/2013,2.2
Region4,2012/2013,2.3
Region5,2012/2013,1.5
Region6,2012/2013,3.4
Region7,2012/2013,2.1
Region8,2012/2013,1.9
Region9,2012/2013,3.5
Region10,2012/2013,1.4
National,2013/2014,2
Region1,2013/2014,1.2
Region2,2013/2014,2.2
Region3,2013/2014,2
Region4,2013/2014,1.9
Region5,2013/2014,1.6
Region6,2013/2014,2.9
Region7,2013/2014,1.8
Region8,2013/2014,1.3
Region9,2013/2014,2.9
Region10,2013/2014,1.3
National,2014/2015,2
Region1,2014/2015,1.2
Region2,2014/2015,2.3
Region3,2014/2015,2
Region4,2014/2015,1.9
Region5,2014/2015,1.7
Region6,2014/2015,3.2
Region7,2014/2015,1.7
Region8,2014/2015,1.3
Region9,2014/2015,2.7
Region10,2014/2015,1.1
National,2015/2016,2.1
Region1,2015/2016,1.3
Region2,2015/2016,2.3
Region3,2015/2016,1.8
Region4,2015/2016,1.6
Region5,2015/2016,1.9
Region6,2015/2016,3.6
Region7,2015/2016,1.7
Region8,2015/2016,1.4
Region9,2015/2016,2.6
Region10,2015/2016,1.1
National,2016/2017,2.2
Region1,2016/2017,1.4
Region2,2016/2017,3
Region3,2016/2017,2.2
Region4,2016/2017,1.7
Region5,2016/2017,1.9
Region6,2016/2017,4.1
Region7,2016/2017,1.8
Region8,2016/2017,1.4
Region9,2016/2017,2.5
Region10,2016/2017,1.1
