"","region.type","region","year","week","time","weighted_ili","time_index","season","season_week"
"1","HHS Regions","Region 1",1997,40,1997-09-27 20:00:00,0.498535,10132,"1997/1998",10
"2","HHS Regions","Region 2",1997,40,1997-09-27 20:00:00,0.374963,10132,"1997/1998",10
"3","HHS Regions","Region 3",1997,40,1997-09-27 20:00:00,1.35428,10132,"1997/1998",10
"4","HHS Regions","Region 4",1997,40,1997-09-27 20:00:00,0.400338,10132,"1997/1998",10
"5","HHS Regions","Region 5",1997,40,1997-09-27 20:00:00,1.22926,10132,"1997/1998",10
"6","HHS Regions","Region 6",1997,40,1997-09-27 20:00:00,1.01898,10132,"1997/1998",10
"7","HHS Regions","Region 7",1997,40,1997-09-27 20:00:00,0.871791,10132,"1997/1998",10
"8","HHS Regions","Region 8",1997,40,1997-09-27 20:00:00,0.516017,10132,"1997/1998",10
"9","HHS Regions","Region 9",1997,40,1997-09-27 20:00:00,1.80761,10132,"1997/1998",10
"10","HHS Regions","Region 10",1997,40,1997-09-27 20:00:00,4.74352,10132,"1997/1998",10
"11","HHS Regions","Region 1",1997,41,1997-10-04 20:00:00,0.642669,10139,"1997/1998",11
"12","HHS Regions","Region 2",1997,41,1997-10-04 20:00:00,0.315666,10139,"1997/1998",11
"13","HHS Regions","Region 3",1997,41,1997-10-04 20:00:00,1.47978,10139,"1997/1998",11
"14","HHS Regions","Region 4",1997,41,1997-10-04 20:00:00,1.42389,10139,"1997/1998",11
"15","HHS Regions","Region 5",1997,41,1997-10-04 20:00:00,1.136,10139,"1997/1998",11
"16","HHS Regions","Region 6",1997,41,1997-10-04 20:00:00,1.44932,10139,"1997/1998",11
"17","HHS Regions","Region 7",1997,41,1997-10-04 20:00:00,0.449154,10139,"1997/1998",11
"18","HHS Regions","Region 8",1997,41,1997-10-04 20:00:00,0.50308,10139,"1997/1998",11
"19","HHS Regions","Region 9",1997,41,1997-10-04 20:00:00,1.39478,10139,"1997/1998",11
"20","HHS Regions","Region 10",1997,41,1997-10-04 20:00:00,3.98637,10139,"1997/1998",11
"21","HHS Regions","Region 1",1997,42,1997-10-11 20:00:00,2.89908,10146,"1997/1998",12
"22","HHS Regions","Region 2",1997,42,1997-10-11 20:00:00,0.310564,10146,"1997/1998",12
"23","HHS Regions","Region 3",1997,42,1997-10-11 20:00:00,2.63598,10146,"1997/1998",12
"24","HHS Regions","Region 4",1997,42,1997-10-11 20:00:00,0.966721,10146,"1997/1998",12
"25","HHS Regions","Region 5",1997,42,1997-10-11 20:00:00,1.02358,10146,"1997/1998",12
"26","HHS Regions","Region 6",1997,42,1997-10-11 20:00:00,1.4623,10146,"1997/1998",12
"27","HHS Regions","Region 7",1997,42,1997-10-11 20:00:00,0.346781,10146,"1997/1998",12
"28","HHS Regions","Region 8",1997,42,1997-10-11 20:00:00,0.176081,10146,"1997/1998",12
"29","HHS Regions","Region 9",1997,42,1997-10-11 20:00:00,2.07269,10146,"1997/1998",12
"30","HHS Regions","Region 10",1997,42,1997-10-11 20:00:00,2.24082,10146,"1997/1998",12
"31","HHS Regions","Region 1",1997,43,1997-10-18 20:00:00,4.8125,10153,"1997/1998",13
"32","HHS Regions","Region 2",1997,43,1997-10-18 20:00:00,0.325144,10153,"1997/1998",13
"33","HHS Regions","Region 3",1997,43,1997-10-18 20:00:00,1.98399,10153,"1997/1998",13
"34","HHS Regions","Region 4",1997,43,1997-10-18 20:00:00,0.574446,10153,"1997/1998",13
"35","HHS Regions","Region 5",1997,43,1997-10-18 20:00:00,0.806177,10153,"1997/1998",13
"36","HHS Regions","Region 6",1997,43,1997-10-18 20:00:00,1.64702,10153,"1997/1998",13
"37","HHS Regions","Region 7",1997,43,1997-10-18 20:00:00,0.647388,10153,"1997/1998",13
"38","HHS Regions","Region 8",1997,43,1997-10-18 20:00:00,0.796463,10153,"1997/1998",13
"39","HHS Regions","Region 9",1997,43,1997-10-18 20:00:00,1.31691,10153,"1997/1998",13
"40","HHS Regions","Region 10",1997,43,1997-10-18 20:00:00,0.609287,10153,"1997/1998",13
"41","HHS Regions","Region 1",1997,44,1997-10-25 20:00:00,1.37136,10160,"1997/1998",14
"42","HHS Regions","Region 2",1997,44,1997-10-25 20:00:00,3.75806,10160,"1997/1998",14
"43","HHS Regions","Region 3",1997,44,1997-10-25 20:00:00,0.750464,10160,"1997/1998",14
"44","HHS Regions","Region 4",1997,44,1997-10-25 20:00:00,1.22455,10160,"1997/1998",14
"45","HHS Regions","Region 5",1997,44,1997-10-25 20:00:00,1.09617,10160,"1997/1998",14
"46","HHS Regions","Region 6",1997,44,1997-10-25 20:00:00,2.46072,10160,"1997/1998",14
"47","HHS Regions","Region 7",1997,44,1997-10-25 20:00:00,0.492672,10160,"1997/1998",14
"48","HHS Regions","Region 8",1997,44,1997-10-25 20:00:00,0.186496,10160,"1997/1998",14
"49","HHS Regions","Region 9",1997,44,1997-10-25 20:00:00,2.24784,10160,"1997/1998",14
"50","HHS Regions","Region 10",1997,44,1997-10-25 20:00:00,1.21454,10160,"1997/1998",14
"51","HHS Regions","Region 1",1997,45,1997-11-01 19:00:00,0.928766,10167,"1997/1998",15
"52","HHS Regions","Region 2",1997,45,1997-11-01 19:00:00,4.45375,10167,"1997/1998",15
"53","HHS Regions","Region 3",1997,45,1997-11-01 19:00:00,0.122297,10167,"1997/1998",15
"54","HHS Regions","Region 4",1997,45,1997-11-01 19:00:00,1.05409,10167,"1997/1998",15
"55","HHS Regions","Region 5",1997,45,1997-11-01 19:00:00,1.14296,10167,"1997/1998",15
"56","HHS Regions","Region 6",1997,45,1997-11-01 19:00:00,2.68891,10167,"1997/1998",15
